id,project,comment,theme,sentiment,sentiment_score,date
113,employee_engagement,"We celebrate wins together as a team.",Collaboration,positive,0.84,2024-01-27
114,employee_engagement,"Politics get in the way of collaboration.",Collaboration,negative,-0.82,2024-01-28
115,employee_engagement,"I trust my teammates completely.",Collaboration,positive,0.91,2024-01-29
116,employee_engagement,"Some team members don't pull their weight.",Collaboration,negative,-0.65,2024-01-30
117,employee_engagement,"Diverse perspectives are valued in discussions.",Collaboration,positive,0.87,2024-02-01
118,employee_engagement,"Meetings are unproductive and waste time.",Collaboration,negative,-0.59,2024-02-02
119,employee_engagement,"We have psychological safety to share ideas.",Collaboration,positive,0.88,2024-02-03
120,employee_engagement,"Blame culture prevents open collaboration.",Collaboration,negative,-0.84,2024-02-04
121,employee_engagement,"Collaboration is decent in my immediate team.",Collaboration,neutral,0.18,2024-02-05
122,employee_engagement,"Team dynamics vary depending on the project.",Collaboration,neutral,0.02,2024-02-06
123,employee_engagement,"We use effective tools for remote collaboration.",Collaboration,positive,0.76,2024-02-07
124,employee_engagement,"New team members struggle to integrate.",Collaboration,negative,-0.57,2024-02-08
125,employee_engagement,"Our team has great chemistry and synergy.",Collaboration,positive,0.93,2024-02-09
126,employee_engagement,"My manager could be more approachable.",Manager Effectiveness,negative,-0.48,2024-02-10
127,employee_engagement,"I appreciate the regular performance check-ins.",Manager Effectiveness,positive,0.74,2024-02-11
128,employee_engagement,"Leadership seems out of touch with daily realities.",Manager Effectiveness,negative,-0.66,2024-02-12
129,employee_engagement,"My manager's door is always open for questions.",Manager Effectiveness,positive,0.81,2024-02-13
130,employee_engagement,"Information doesn't flow well from top to bottom.",Manager Effectiveness,negative,-0.63,2024-02-14
131,employee_engagement,"I've learned a lot about career planning here.",Growth & Development,positive,0.78,2024-02-10
132,employee_engagement,"High performers aren't recognized or promoted.",Growth & Development,negative,-0.80,2024-02-11
133,employee_engagement,"The skills development program is excellent.",Growth & Development,positive,0.85,2024-02-12
134,employee_engagement,"Lateral moves are discouraged which limits growth.",Growth & Development,negative,-0.67,2024-02-13
135,employee_engagement,"I've grown more here than anywhere else.",Growth & Development,positive,0.90,2024-02-14
136,employee_engagement,"The company values work-life harmony.",Work-Life Balance,positive,0.82,2024-02-10
137,employee_engagement,"After-hours emails are expected and constant.",Work-Life Balance,negative,-0.77,2024-02-11
138,employee_engagement,"I can work from anywhere which is amazing.",Work-Life Balance,positive,0.89,2024-02-12
139,employee_engagement,"Crunch time is every time, not just sometimes.",Work-Life Balance,negative,-0.85,2024-02-13
140,employee_engagement,"Managers model good work-life balance.",Work-Life Balance,positive,0.80,2024-02-14
141,employee_engagement,"The recognition program is fair and transparent.",Recognition & Respect,positive,0.75,2024-02-10
142,employee_engagement,"We've lost benefits without gaining anything.",Recognition & Respect,negative,-0.81,2024-02-11
143,employee_engagement,"Being thanked by leadership feels genuine.",Recognition & Respect,positive,0.83,2024-02-12
144,employee_engagement,"Merit increases don't match performance.",Recognition & Respect,negative,-0.70,2024-02-13
145,employee_engagement,"I feel valued through regular feedback.",Recognition & Respect,positive,0.79,2024-02-14
146,employee_engagement,"Teams share resources and help each other.",Collaboration,positive,0.85,2024-02-10
147,employee_engagement,"There's no system for cross-team alignment.",Collaboration,negative,-0.63,2024-02-11
148,employee_engagement,"Pair programming has improved our output.",Collaboration,positive,0.81,2024-02-12
149,employee_engagement,"Team leads don't coordinate effectively.",Collaboration,negative,-0.69,2024-02-13
150,employee_engagement,"We successfully deliver as a unified team.",Collaboration,positive,0.88,2024-02-14
151,employee_engagement,"Feedback sessions are helpful and regular.",Manager Effectiveness,positive,0.77,2024-02-15
152,employee_engagement,"My concerns are dismissed by management.",Manager Effectiveness,negative,-0.79,2024-02-16
153,employee_engagement,"Town halls are informative and engaging.",Manager Effectiveness,positive,0.72,2024-02-17
154,employee_engagement,"There's no upward feedback mechanism.",Manager Effectiveness,negative,-0.61,2024-02-18
155,employee_engagement,"My manager explains the why behind decisions.",Manager Effectiveness,positive,0.84,2024-02-19
156,employee_engagement,"Certification support helps my career.",Growth & Development,positive,0.80,2024-02-15
157,employee_engagement,"Promotions go to those with connections.",Growth & Development,negative,-0.86,2024-02-16
158,employee_engagement,"I've been given stretch assignments to grow.",Growth & Development,positive,0.82,2024-02-17
159,employee_engagement,"The job I was hired for isn't what I do.",Growth & Development,negative,-0.59,2024-02-18
160,employee_engagement,"Clear expectations help me advance.",Growth & Development,positive,0.76,2024-02-19
161,employee_engagement,"Unlimited PTO actually works here.",Work-Life Balance,positive,0.90,2024-02-15
162,employee_engagement,"I'm afraid to disconnect on vacation.",Work-Life Balance,negative,-0.78,2024-02-16
163,employee_engagement,"The four-day week pilot was wonderful.",Work-Life Balance,positive,0.95,2024-02-17
164,employee_engagement,"Emergency work happens too frequently.",Work-Life Balance,negative,-0.70,2024-02-18
165,employee_engagement,"I have energy left for life outside work.",Work-Life Balance,positive,0.84,2024-02-19
166,employee_engagement,"Peer shoutouts make me feel appreciated.",Recognition & Respect,positive,0.78,2024-02-15
167,employee_engagement,"Pay bands seem arbitrary and unfair.",Recognition & Respect,negative,-0.74,2024-02-16
168,employee_engagement,"My manager gives credit where it's due.",Recognition & Respect,positive,0.71,2024-02-17
169,employee_engagement,"No raises in two years despite great reviews.",Recognition & Respect,negative,-0.88,2024-02-18
170,employee_engagement,"I feel seen and appreciated by my team.",Recognition & Respect,positive,0.73,2024-02-19
171,employee_engagement,"We do retrospectives that actually improve things.",Collaboration,positive,0.82,2024-02-15
172,employee_engagement,"People work in isolation on shared projects.",Collaboration,negative,-0.72,2024-02-16
173,employee_engagement,"Our team documentation is excellent.",Collaboration,positive,0.77,2024-02-17
174,employee_engagement,"Technical debt causes team friction.",Collaboration,negative,-0.58,2024-02-18
175,employee_engagement,"We onboard new members effectively.",Collaboration,positive,0.80,2024-02-19
176,employee_engagement,"Skip-level meetings are valuable.",Manager Effectiveness,positive,0.79,2024-02-20
177,employee_engagement,"Mixed messages from different leaders.",Manager Effectiveness,negative,-0.65,2024-02-21
178,employee_engagement,"Coaching from my manager is excellent.",Manager Effectiveness,positive,0.87,2024-02-22
179,employee_engagement,"No recognition for good work.",Manager Effectiveness,negative,-0.73,2024-02-23
180,employee_engagement,"Communication is clear and consistent.",Manager Effectiveness,positive,0.81,2024-02-24
181,employee_engagement,"Job shadowing opportunities helped me.",Growth & Development,positive,0.77,2024-02-20
182,employee_engagement,"Performance reviews don't affect growth.",Growth & Development,negative,-0.68,2024-02-21
183,employee_engagement,"Leadership track is well defined.",Growth & Development,positive,0.83,2024-02-22
184,employee_engagement,"No feedback means no growth direction.",Growth & Development,negative,-0.75,2024-02-23
185,employee_engagement,"I see a promotion in my near future.",Growth & Development,positive,0.86,2024-02-24
186,employee_engagement,"Summer Fridays improve morale greatly.",Work-Life Balance,positive,0.88,2024-02-20
187,employee_engagement,"On-call rotations are too demanding.",Work-Life Balance,negative,-0.72,2024-02-21
188,employee_engagement,"Flexibility to handle appointments is great.",Work-Life Balance,positive,0.79,2024-02-22
189,employee_engagement,"Understaffing creates impossible workloads.",Work-Life Balance,negative,-0.89,2024-02-23
190,employee_engagement,"My schedule is truly my own to manage.",Work-Life Balance,positive,0.85,2024-02-24
191,employee_engagement,"Annual recognition events are meaningful.",Recognition & Respect,positive,0.76,2024-02-20
192,employee_engagement,"The bonus structure was cancelled.",Recognition & Respect,negative,-0.63,2024-02-21
193,employee_engagement,"Spot bonuses recognize extra effort.",Recognition & Respect,positive,0.82,2024-02-22
194,employee_engagement,"Recognition happens but feels hollow.",Recognition & Respect,neutral,-0.21,2024-02-23
195,employee_engagement,"I feel respected by leadership.",Recognition & Respect,positive,0.80,2024-02-24
196,employee_engagement,"Daily standups keep us synchronized.",Collaboration,positive,0.74,2024-02-20
197,employee_engagement,"Remote team members feel excluded.",Collaboration,negative,-0.67,2024-02-21
198,employee_engagement,"We leverage each other's strengths well.",Collaboration,positive,0.86,2024-02-22
199,employee_engagement,"Lack of documentation hurts collaboration.",Collaboration,negative,-0.64,2024-02-23
200,employee_engagement,"Our team achieves more together.",Collaboration,positive,0.91,2024-02-24
